id,eg,election,total_districts,epsilon,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,D_seats,hash
69261,-0.07489625,PRES16,34,0.05,0.177430493,0.185666263,0.190680199,0.203430178,0.216173773,0.216531381,0.219820734,0.222216081,0.249808351,0.252188841,0.258010372,0.293470041,0.296049588,0.298688697,0.30471965,0.312784928,0.335308539,0.357343714,0.360941311,0.371166189,0.398685247,0.411535333,0.427361576,0.434917637,0.465166643,0.474412057,0.503198124,0.516443931,0.673037223,0.746280006,0.756356618,0.797812707,0.805831599,0.932473295,8,69261
83404,-0.043082601,PRES16,34,0.05,0.182438801,0.183521188,0.194556171,0.207460822,0.216760928,0.219609123,0.21989055,0.224251696,0.227184517,0.229987262,0.234498994,0.245936507,0.272530869,0.311327447,0.320055233,0.337407674,0.341399478,0.352945228,0.376701066,0.376947459,0.407464009,0.408256675,0.409248256,0.431064993,0.467395644,0.505035105,0.526973638,0.59141827,0.603269448,0.700793795,0.703867155,0.801583156,0.834255005,0.92861255,9,83404
176923,-0.110883155,USSEN16,34,0.05,0.277534066,0.285489474,0.291677642,0.29488655,0.299602433,0.321854487,0.328607002,0.334453622,0.345069358,0.370212506,0.377236559,0.404874915,0.414968552,0.41534781,0.42296602,0.43213441,0.446406674,0.456834849,0.456994652,0.480138699,0.487989509,0.48992139,0.500498878,0.50856742,0.513187213,0.523087314,0.571700765,0.646915014,0.711842777,0.715118397,0.784831128,0.813564185,0.824477655,0.937799264,12,176923
76238,-0.042742334,PRES16,34,0.05,0.184094705,0.185322199,0.204027511,0.206198234,0.20670027,0.214175837,0.217948908,0.219950768,0.227063533,0.24140703,0.264797645,0.270483193,0.273406111,0.278650319,0.292713869,0.345596067,0.347500887,0.348288984,0.36850014,0.378597899,0.392239792,0.428146473,0.4323982,0.453044173,0.473053281,0.50015027,0.562708491,0.578152994,0.592508132,0.675620051,0.80409036,0.82966064,0.850143319,0.881714596,9,76238
193280,-0.145476147,USSEN16,34,0.05,0.265618321,0.275754974,0.289496219,0.309236762,0.316170173,0.321549228,0.332091893,0.335388975,0.352040684,0.367839642,0.373521529,0.376496263,0.394889237,0.427644694,0.439145922,0.442883442,0.444189092,0.455534448,0.461424171,0.464097354,0.467396849,0.473823887,0.485371271,0.521119813,0.554289116,0.562908556,0.607066031,0.674779333,0.710320532,0.715600038,0.74081478,0.760519658,0.848888047,0.923474906,11,193280
173641,-0.075830227,USSEN16,34,0.05,0.27327901,0.277280237,0.286071969,0.290721772,0.31799994,0.321757121,0.327742436,0.361155912,0.366601952,0.372534562,0.382753318,0.388630099,0.393076846,0.399005116,0.400903232,0.425518162,0.433298099,0.436720143,0.442179578,0.462648452,0.469498754,0.512942825,0.529129683,0.534702864,0.550612694,0.552478531,0.556019485,0.609953877,0.716775566,0.769428527,0.775800856,0.812226518,0.814069912,0.878125869,13,173641
31171,-0.051813619,PRES16,34,0.05,0.166238119,0.189890534,0.193404707,0.212348098,0.219129685,0.219782294,0.233624302,0.2355007,0.237123116,0.237749905,0.252689958,0.25832132,0.265262072,0.278004085,0.28184578,0.333275719,0.340909342,0.347824275,0.353219464,0.37822123,0.420195848,0.429772473,0.440156378,0.4432564,0.481688335,0.515968539,0.547102273,0.552278255,0.639768392,0.687189515,0.756628211,0.774716753,0.884806243,0.905850117,9,31171
192188,-0.117318522,USSEN16,34,0.05,0.276876342,0.27852431,0.289217812,0.292228581,0.315553502,0.327942746,0.336882427,0.343214322,0.34560425,0.361172267,0.374733894,0.377246986,0.418097843,0.423389108,0.43221838,0.442180374,0.454022778,0.454638721,0.464520444,0.468897273,0.471722556,0.475443078,0.505459284,0.511337387,0.522564224,0.569514586,0.574434415,0.58686759,0.692928621,0.781630163,0.807693745,0.816104885,0.831127464,0.874489617,12,192188
36325,-0.044634999,PRES16,34,0.05,0.173913043,0.181623216,0.181820531,0.215817223,0.223441839,0.224268645,0.226807369,0.241896506,0.250100019,0.250401676,0.252232229,0.261699209,0.270079524,0.278033373,0.313031144,0.313920171,0.353085541,0.35392942,0.35652921,0.389686519,0.389724054,0.42947821,0.452681169,0.463598843,0.478957398,0.504425205,0.518557162,0.541142605,0.635415615,0.673676821,0.792440573,0.823923166,0.859523064,0.893634065,9,36325
156710,-0.148619166,USSEN16,34,0.05,0.268620013,0.271557076,0.290130906,0.291342937,0.341346746,0.343241185,0.346717238,0.355447178,0.359679003,0.362141877,0.369785333,0.388220655,0.390241298,0.396645756,0.402572423,0.412395098,0.414040586,0.414325125,0.47252878,0.47289118,0.493306679,0.49629729,0.496819487,0.539205893,0.539693356,0.552750049,0.564086977,0.636410098,0.723800221,0.759006144,0.795430108,0.835338678,0.839764604,0.889932993,11,156710
